type,id,field,value
"instructions","instructions","heading","Instructions"
"instructions","instructions","body","Lorem ipsum dolor sit fiona, consectetur mcgoogle elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
"card","card1","cardName","Parent"
"card","card1","shortText","I provide clear step-by-step instructions based on my experience."
"card","card1","cardSummary","I have experience doing this and provide detailed instructions, so no one wastes time. I offer prescriptive, step-by-step guidance. I know how to do this well and prioritize clarity in expectations. ""Just tell me what to do"" approach."
"card","card1","pros","I have experience doing this and provide detailed instructions, so that no one is wasting their time.; I provide clarity in what good looks like.; I make it easy to measure or review progress."
"card","card1","cons","This style sucks when there is no defined ""right way"" to proceed.; I can come across as condescending or assuming the receiver lacks knowledge.; Doesn't build the receiver's problem-solving capabilities, especially when the ""why"" is missing"
"card","card1","aka","Instructor; Expert"
"card","card1","animalExplanation","Represents providing detailed, guiding instructions, much like a parent teaching a child step-by-step."
"card","card2","cardName","Parrot"
"card","card2","shortText","Feedback is a 2-way conversation where we can  both learn."
"card","card2","cardSummary","Feedback is always a two-way conversation. I enter with curiosity and intent to learn as well as advise. The best outcome is when the receiver finds their own solution."
"card","card2","pros","The recipient owns the insight and is more likely to act on it.; I respect my team member's existing expertise.; My style builds long-term problem-solving capabilities."
"card","card2","cons","This style of conversation takes a long time.; Can be frustrating for those who just want a direct answer. It can feel like I'm withholding information if the feedback giver already knows the answer.; Not be effective in urgent situations requiring immediate action."
"card","card2","aka","Coach; Guide; The Conversationalist"
"card","card2","animalExplanation","Parrots are chatty creatures."
"card","card3","cardName","Meerkat"
"card","card3","shortText","I give indirect feedback. "
"card","card3","cardSummary","I prioritise  relationships over delivering uncomfortable truths. I believe people respond best to positive feedback and encouragement. I don't think people will listen if they don't fundamentally like me. So my feedback is indirect, sometimes at the expense of clarity."
"card","card3","pros","I demonstrate a caring, supportive approach.; Sometimes, people aren't in a state to hear tough feedback. My style works well at these times.; I'm very approachable."
"card","card3","cons","My style can be so vague ! The recipient may even struggle to understand what I mean.; Important issues may never get addressed.; Recipients can be confused about where they actually stand with me.; Problems may persist or worsen without clear feedback."
"card","card3","aka","People-Pleaser; Harmonizer"
"card","card3","animalExplanation","Meerkats are super-social,  prioritizing group harmony."
"card","card4","cardName","Lion"
"card","card4","shortText","I deliver clear, direct feedback because I care about your success."
"card","card4","cardSummary","My colleagues are adults with clear responsibilities. They know I want them to succeed, so I provide specific, direct feedback. Even if it comes across as blunt sometimes, I prioritize clarity and impact. "
"card","card4","pros","When I also demonstrate I care personally for the recipient, I build trust and credibility at the same time.; Leaves little room for misinterpretation about expectations.; Addresses issues promptly before they escalate."
"card","card4","cons","Some people misinterpret my direct feedback as personal criticism, even if it's intended to help. This can lead to hurt feelings or resentment.; Constantly caring + challenging can be emotionally draining if not reciprocated or valued by the culture around you.; Can shut down receivers who need more psychological safety.; May not work well across all cultural contexts."
"card","card4","aka","Radical Candor; Challenger"
"card","card4","animalExplanation","Lions are seen as strong and direct leaders, unafraid to challenge."
"card","card5","cardName","Turtle"
"card","card5","shortText","I avoid giving feedback altogether."
"card","card5","cardSummary","I actually hate giving feedback. I worry, procrastinate, and find excuses to avoid it. I'm deeply concerned about how it will affect our relationship."
"card","card5","pros","My style works very well for me when I don't feel psychologically safe.; Avoids immediate conflict or confrontation, and preserves short-term harmony in relationships."
"card","card5","cons","Problems persist and often get worse over time.; Others may view me as disengaged or uncaring.; I miss opportunities to develop my team members and build deeper trust."
"card","card5","aka","gotta go; The ""never a good time""; Got Nuthin"
"card","card5","animalExplanation","Turtles retreat into their shells when threatened or uncomfortable, symbolizing avoidance of difficult feedback conversations."
"card","card6","cardName","Crab"
"card","card6","shortText","I tell others  my feedback instead of addressing you directly."
"card","card6","cardSummary","When I need to give you feedback, I'll talk to anyone but you! Including your boss."
"card","card6","pros","My style works well for me when I don't feel psychologically safe.; I get the support of other leaders.; I can validate my perceptions before giving feedback.; I don't have to deal with potential negative reactions."
"card","card6","cons","My style normalizes indirectness. Others start doing it too. Suddenly, feedback is whispered—not spoken.; The person receiving secondhand feedback usually feels ambushed, defensive, or humiliated, especially if it comes from someone higher up.; Damages trust across the organization.; Sustains a culture of gossip and back-channeling."
"card","card6","aka","The escalator; SThe idewinder"
"card","card6","animalExplanation","Crabs move sideways, representing indirect communication and addressing issues by talking around the person involved rather than directly."
"card","card7","cardName","Penguin"
"card","card7","shortText","I dump all my unfiltered thoughts at once without preparation."
"card","card7","cardSummary","I think it's helpful for a person to receive all the feedback in one go, so that they can reflect on what is useful for them. This way I've got all my thoughts on the table. I don't ask if it's a good time. I just open my mouth and whatever comes out, I'll call ""feedback""."
"card","card7","pros","Hey, people know what I'm thinking! I'm an open book!; I provide comprehensive feedback.; People know what they're getting. No bullshit. It's authentic. Just the way I am."
"card","card7","cons","I've noticed people start bracing for impact every time I speak. Over time, they start avoid me, or withhold their own honesty.; For some reason, people get very defensive when I'm ""transparent"" like this. It seems like they aren't listening?; The recipient may be overwhelmed and unable to process all the feedback at once. Important points get lost among less significant ones."
"card","card7","aka","Unfiltered; Drive-by"
"card","card7","animalExplanation","Penguins feed their young by vomiting."
